drug_name
Gefitinib
Erlotinib
Afatinib
Osimertinib
Dacomitinib
Vemurafenib
Dabrafenib
Encorafenib
Trametinib
Binimetinib
Cobimetinib
Crizotinib
Ceritinib
Alectinib
Brigatinib
Lorlatinib
Imatinib
Dasatinib
Nilotinib
Bosutinib
Ponatinib
Sunitinib
Sorafenib
Pazopanib
Axitinib
Cabozantinib
Lenvatinib
Regorafenib
Lapatinib
Neratinib
Tucatinib
Trastuzumab
Pertuzumab
T-DM1
Trastuzumab deruxtecan
Palbociclib
Ribociclib
Abemaciclib
Alpelisib
Everolimus
Temsirolimus
Olaparib
Rucaparib
Niraparib
Talazoparib
Pembrolizumab
Nivolumab
Atezolizumab
Durvalumab
Avelumab
Ipilimumab
Cetuximab
Panitumumab
Bevacizumab
Rituximab
Venetoclax
Ibrutinib
Acalabrutinib
Zanubrutinib
Selpercatinib
Pralsetinib
Larotrectinib
Entrectinib
Capmatinib
Tepotinib
Sotorasib
Adagrasib
Erdafitinib
Pemigatinib
Futibatinib
Infigratinib
Tivozanib
Mobocertinib
Amivantamab
